,Unnamed: 0,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count
8394,8395,672967,864691135760484541,[375280 215312  22940],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,14.0,1628.0,9.0,1455.0
8425,8426,623983,864691136013357720,[357088 233760  21971],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,14.0,630.0,10.0,588.0
8475,8476,129380,864691135463508549,[ 98896 229168  18709],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,1006.0,14.0,855.0
8498,8499,81101,864691135476129192,[ 89680 211888  16106],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,5.0,109.0,1.0,78.0
8520,8521,674584,864691135593561899,[362048 231024  19119],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,20.0,1337.0,15.0,1202.0
8602,8603,621065,864691135181790210,[359808 218656  16200],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,47.0,923.0,35.0,843.0
8615,8616,87406,864691136116169636,[ 84144 253760  20283],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,4.0,265.0,4.0,235.0
8648,8649,339611,864691135415975098,[212880 212768  19461],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,102.0,764.0,89.0,708.0
8655,8656,81902,864691135941133940,[ 84640 214368  19957],2022-06-09 14:30:32.002707,L6,excitatory,NGC,14.0,1140.0,9.0,920.0
8787,8788,170823,864691134947431932,[128096 247232  15388],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,41.0,370.0,36.0,310.0
8829,8830,678102,864691135385220181,[363440 243008  20427],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,143.0,1026.0,121.0,915.0
8849,8850,617340,864691135676381682,[349120 191280  15569],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,14.0,1012.0,7.0,904.0
8922,8923,41333,864691135407293897,[ 78608 221792  20092],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,2.0,39.0,1.0,35.0
8936,8937,712188,864691136006745507,[390272 206192  26563],2022-06-09 14:30:32.002707,L6,inhibitory,BC,48.0,3505.0,16.0,2795.0
8959,8960,83611,864691136319289310,[ 94640 237952  16094],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,16.0,218.0,12.0,175.0
8969,8970,674047,864691136577461268,[362768 232304  15881],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,200.0,11.0,173.0
9074,9075,667728,864691135393993717,[362784 200560  16683],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,48.0,1452.0,33.0,1265.0
9084,9085,128940,864691135718486833,[100832 232400  15981],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,80.0,1525.0,73.0,1349.0
9137,9138,532691,864691135738967188,[302768 222016  21353],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,11.0,1008.0,7.0,941.0
9167,9168,272715,864691136023742521,[172192 251072  15775],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,59.0,516.0,46.0,458.0
9218,9219,131953,864691135113523097,[104272 248976  15458],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,9.0,288.0,5.0,247.0
9226,9227,204383,864691135307447878,[133360 256112  17140],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,21.0,1043.0,18.0,949.0
9276,9277,619248,864691136209041852,[357760 196976  16025],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,27.0,871.0,21.0,796.0
9279,9280,86469,864691135385249109,[ 94464 244864  17794],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,68.0,1013.0,55.0,850.0
9285,9286,563264,864691135964429770,[317184 200016  26039],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,24.0,2601.0,15.0,2331.0
9289,9290,591841,864691135807292957,[335696 212432  15692],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,17.0,1317.0,9.0,1163.0
9324,9325,717161,864691137016587886,[377120 213888  24535],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,16.0,1261.0,10.0,1158.0
9371,9372,621052,864691136618483085,[357712 215696  16200],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,22.0,1173.0,9.0,1074.0
9426,9427,769037,864691135246861743,[400512 242640  25962],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,13.0,183.0,8.0,163.0
9502,9503,719770,864691136311798845,[377104 227024  19132],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,47.0,457.0,41.0,405.0
9530,9531,83402,864691136903037874,[ 91936 241600  15648],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,8.0,82.0,7.0,72.0
9543,9544,82049,864691135292126390,[ 83728 219488  20611],2022-06-09 14:30:32.002707,L6,excitatory,5P-PT,24.0,1162.0,12.0,985.0
9633,9634,566636,864691135657805698,[317712 240960  25443],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,34.0,2138.0,23.0,1910.0
9652,9653,566763,864691135982744778,[319744 236080  26289],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,125.0,1166.0,103.0,1040.0
9690,9691,84589,864691136031770811,[ 81888 228048  20867],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,5.0,62.0,1.0,54.0
9709,9710,671137,864691136723589629,[364560 213296  18712],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,24.0,1205.0,17.0,1080.0
9728,9729,125954,864691135855668270,[101600 212192  15295],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,18.0,941.0,14.0,783.0
9730,9731,722145,864691135762467773,[377632 231024  23608],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,26.0,1663.0,17.0,1485.0
9768,9769,531051,864691136209438140,[301504 203856  22410],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,269.0,943.0,219.0,857.0
9819,9820,672966,864691135760291773,[375120 220256  23208],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,12.0,1688.0,6.0,1508.0
9844,9845,722102,864691135754760637,[387760 229200  23186],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,27.0,1291.0,20.0,1150.0
9847,9848,132721,864691135445631378,[101616 252048  19341],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,13.0,511.0,11.0,436.0
9858,9859,132253,864691136317616350,[101536 254416  17056],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,8.0,238.0,2.0,207.0
9884,9885,674508,864691135758498382,[368864 228128  18242],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,18.0,843.0,12.0,764.0
9906,9907,500030,864691136031637691,[280336 229312  15681],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,28.0,1089.0,17.0,940.0
9918,9919,619062,864691135912007832,[346800 199840  15164],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,20.0,547.0,14.0,495.0
9940,9941,716917,864691135058568347,[389712 223792  22250],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,33.0,713.0,20.0,657.0
9997,9998,81210,864691136175044102,[ 86976 216224  16836],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,13.0,959.0,5.0,827.0
10224,10226,674669,864691135937143812,[373808 236240  18905],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,17.0,490.0,11.0,442.0
10292,10294,86186,864691136270157197,[ 97664 246464  16617],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,192.0,661.0,171.0,583.0
10296,10298,175223,864691136952179423,[126496 265904  23819],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,186.0,921.0,146.0,803.0
10300,10302,671037,864691135769888701,[366208 222688  17547],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,14.0,1148.0,10.0,1048.0
10312,10314,128896,864691135945526052,[114144 240688  15225],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,532.0,14.0,464.0
10335,10337,498377,864691136554726562,[294000 223248  15777],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,1274.0,6.0,1142.0
10377,10379,672777,864691135122684967,[364032 212864  22531],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,26.0,1877.0,16.0,1717.0
10434,10436,83783,864691135358843736,[ 96064 235296  16749],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,12.0,554.0,7.0,490.0
10443,10445,666921,864691135012472054,[362864 208144  15672],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,9.0,511.0,3.0,469.0
10494,10496,597283,864691136536321442,[330400 243472  26250],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,78.0,1820.0,53.0,1662.0
10543,10545,87594,864691136740436572,[ 83600 254640  20752],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,4.0,229.0,4.0,195.0
10564,10566,721955,864691135088952864,[390336 227632  22241],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,42.0,404.0,35.0,359.0
10638,10640,763233,864691135462269085,[394768 219808  22236],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,46.0,471.0,31.0,426.0
10656,10658,623289,864691135909760425,[358544 228512  17408],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,1526.0,11.0,1390.0
10663,10665,678672,864691136812267123,[372448 247856  22571],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,76.0,1442.0,58.0,1228.0
10757,10759,717490,864691135765778365,[385632 212768  26718],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,11.0,697.0,8.0,614.0
10772,10774,727301,864691135194787114,[388224 242960  25474],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,51.0,757.0,33.0,674.0
10775,10777,670634,864691136123789606,[361856 220224  16380],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,68.0,1402.0,51.0,1259.0
10809,10811,668457,864691135303177895,[362192 200208  20496],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,6.0,132.0,2.0,104.0
10816,10818,622996,864691136123751462,[356608 234192  16438],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,41.0,1185.0,20.0,1015.0
10882,10884,84727,864691136311753533,[ 83040 237520  21373],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,1.0,97.0,1.0,68.0
10891,10893,764273,864691135763180477,[393728 211488  24512],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,25.0,1012.0,19.0,888.0
10925,10927,675815,864691135744943549,[373520 232832  22996],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,163.0,1706.0,138.0,1562.0
10930,10932,83916,864691135822386270,[ 90576 232704  17395],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,6.0,383.0,3.0,335.0
11001,11003,727395,864691135509825747,[382864 243952  26053],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,31.0,769.0,20.0,690.0
11007,11009,237602,864691136194091222,[152528 250144  16326],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,11.0,519.0,10.0,479.0
11047,11049,340522,864691136039609854,[211616 211744  26455],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,115.0,562.0,95.0,502.0
11103,11105,500133,864691136099837301,[282144 227040  15969],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,24.0,1358.0,19.0,1268.0
11280,11282,624530,864691135278568097,[345984 238368  26509],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,15.0,1331.0,9.0,1191.0
11296,11298,620794,864691135385242197,[348224 218896  15496],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,515.0,9.0,478.0
11335,11337,126029,864691135463483205,[ 99424 224832  15949],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,8.0,620.0,5.0,566.0
11418,11420,126809,864691135988316928,[ 98992 222576  20789],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,144.0,569.0,123.0,528.0
