,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DONE_labels
2195,129559,864691135753656525,[106192 239568  19353],2022-06-09 14:30:32.002707,L6,inhibitory,BC,41.0,3356.0,28.0,2783.0,1
2199,303861,864691135322937500,[182064 222560  15303],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,26.0,896.0,19.0,799.0,1
2200,238735,864691135617739407,[151760 242608  22445],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,137.0,2102.0,116.0,1856.0,1
2202,594504,864691135446977108,[333056 230544  20936],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,123.0,1180.0,100.0,1080.0,1
2206,371671,864691135718495025,[221248 215888  18155],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,167.0,1496.0,105.0,1383.0,1
2207,273414,864691135517406090,[163872 248496  19760],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,24.0,1567.0,17.0,1438.0,1
2210,716933,864691135468154962,[391392 209600  22531],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,33.0,736.0,23.0,653.0,1
2220,531191,864691136873313390,[299120 208208  23527],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,20.0,3139.0,14.0,2820.0,1
2223,592951,864691135685827220,[334512 216768  22416],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,101.0,1812.0,79.0,1649.0,1
2224,343808,864691135736880516,[197168 252960  20097],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,135.0,1981.0,105.0,1815.0,1
2231,402676,864691136194058454,[237312 222784  15594],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,13.0,1459.0,7.0,1301.0,1
2242,374460,864691136889791854,[220944 239728  24600],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,113.0,1876.0,91.0,1700.0,1
2246,272072,864691136208986812,[170032 236160  25085],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,180.0,2564.0,160.0,2159.0,1
2250,342204,864691135724637867,[210912 226784  21869],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,194.0,2112.0,168.0,1840.0,1
2251,561478,864691135568909190,[314304 204528  15331],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,16.0,1049.0,8.0,975.0,1
2256,590161,864691135975464259,[328048 205056  17105],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,9.0,1732.0,5.0,1595.0,1
2260,438035,864691135748544553,[253968 246880  19953],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,54.0,1772.0,43.0,1562.0,1
2261,400243,864691136134431371,[235712 201120  16115],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,54.0,1883.0,37.0,1664.0,1
2264,269545,864691135502014645,[165312 219680  22895],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,24.0,663.0,18.0,614.0,1
2265,275811,864691136361483746,[165712 259280  20529],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,112.0,2020.0,78.0,1783.0,1
2266,672984,864691136662240734,[361264 224352  23807],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,13.0,2304.0,9.0,1967.0,1
2271,309065,864691136088929591,[182736 253088  22088],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,267.0,2197.0,231.0,1973.0,1
2272,304106,864691135385354069,[195488 221120  16107],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,40.0,1755.0,34.0,1635.0,1
2275,406432,864691135415621562,[243984 239584  24959],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,289.0,2461.0,222.0,2097.0,1
2277,619767,864691136143828020,[345504 200016  20742],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,469.0,1034.0,365.0,936.0,1
2279,342208,864691135064978756,[212432 231456  22321],2022-06-09 14:30:32.002707,L6,inhibitory,BC,1731.0,6005.0,1273.0,4905.0,1
2280,171298,864691135517817482,[129344 252080  17488],2022-06-09 14:30:32.002707,L6,inhibitory,BC,217.0,9074.0,167.0,7551.0,1
2284,129584,864691136041045590,[109200 239792  19288],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,58.0,1180.0,49.0,1043.0,1
2285,621784,864691135866388758,[357152 210880  20661],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,47.0,1408.0,34.0,1210.0,1
2295,372484,864691135510495952,[225296 217840  24423],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,77.0,2841.0,60.0,2518.0,1
2299,341336,864691136032013499,[202192 240416  17873],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,95.0,2833.0,79.0,2561.0,1
2312,503386,864691135385301589,[292416 253728  24623],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,60.0,3237.0,46.0,2861.0,1
2314,594415,864691135986926851,[332464 232112  20195],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,70.0,2129.0,49.0,1968.0,1
2315,400117,864691135064984644,[240240 205792  15634],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,11.0,1465.0,8.0,1310.0,1
2318,532602,864691136031671483,[311024 223904  20863],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,1306.0,8.0,1203.0,1
2325,500960,864691134964833055,[291200 228544  21080],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,187.0,2515.0,150.0,2235.0,1
2328,342724,864691135556409842,[204160 230416  26819],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,52.0,1213.0,44.0,1105.0,1
2329,238109,864691135941122676,[151744 247344  18257],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,217.0,2466.0,182.0,2210.0,1
2333,376257,864691136521910161,[219840 244992  21921],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,110.0,1695.0,91.0,1548.0,1
2334,305949,864691134964434463,[182240 230144  15840],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,17.0,1303.0,14.0,1192.0,1
2340,564704,864691135564893975,[323488 219584  22775],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,48.0,2350.0,33.0,2154.0,1
2344,201525,864691135307080262,[137792 224320  23163],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,29.0,1886.0,26.0,1677.0,1
2347,591158,864691135155982692,[333056 208416  24662],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,58.0,2460.0,40.0,2126.0,1
2350,502846,864691136990386069,[282544 246992  20612],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,32.0,1520.0,26.0,1403.0,1
2354,402916,864691135497083634,[241072 212688  15849],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,93.0,1402.0,62.0,1270.0,1
2356,466708,864691135058587035,[274832 209056  24435],2022-06-09 14:30:32.002707,L6,excitatory,5P-NP,21.0,796.0,7.0,692.0,1
2360,590738,864691135776598624,[330608 202576  21692],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,37.0,2875.0,20.0,2581.0,1
2366,371932,864691135082148087,[225040 211552  19933],2022-06-09 14:30:32.002707,L6,excitatory,MC,3039.0,7680.0,2235.0,6733.0,1
2367,126221,864691135526077019,[105872 224208  17227],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,18.0,1154.0,11.0,988.0,1
2368,200386,864691135994557354,[141216 224608  15289],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,57.0,1034.0,46.0,908.0,1
2372,372564,864691135639151419,[224048 214528  24985],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,147.0,2631.0,125.0,2118.0,1
2373,309858,864691135859128424,[195600 250208  26551],2022-06-09 14:30:32.002707,L6,excitatory,23P,1232.0,1990.0,1050.0,1737.0,1
2377,670644,864691135210039488,[364752 218128  15911],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,13.0,417.0,4.0,372.0,1
2378,341191,864691135654313924,[209728 238432  17119],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,75.0,2352.0,69.0,2103.0,1
2379,304507,864691135488224314,[194272 218480  18773],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,265.0,1421.0,224.0,1324.0,1
2381,433833,864691136911839217,[252496 214720  18532],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,119.0,2031.0,97.0,1814.0,1
2391,205356,864691136328892138,[136720 249952  22493],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,49.0,1468.0,37.0,1205.0,1
2393,407634,864691135584301298,[243440 243152  19174],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,153.0,2477.0,128.0,2237.0,1
2402,129315,864691136251127181,[107248 233248  17262],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,20.0,2089.0,13.0,1865.0,1
2408,672967,864691135760484541,[375280 215312  22940],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,14.0,1628.0,9.0,1455.0,1
2412,468235,864691135341356229,[264656 236416  21536],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,156.0,1449.0,130.0,1337.0,1
2424,343548,864691136834867310,[198912 248032  18584],2022-06-09 14:30:32.002707,L6,inhibitory,MC,135.0,1919.0,111.0,1749.0,1
2425,711813,864691136123745574,[385072 205136  24083],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,51.0,1321.0,44.0,1157.0,1
2427,269217,864691135337945830,[171648 222000  20046],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,96.0,2183.0,69.0,1905.0,1
2436,130130,864691135776650080,[111104 239472  22468],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,16.0,896.0,10.0,813.0,1
2439,305879,864691135517345418,[190640 236496  15445],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,13.0,857.0,5.0,773.0,1
2447,405445,864691135476097448,[243696 239216  18124],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,123.0,1491.0,95.0,1334.0,1
2450,564307,864691136989995157,[315632 220000  20763],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,60.0,1764.0,47.0,1596.0,1
2454,563050,864691136535060130,[311952 204544  24420],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,404.0,2247.0,352.0,1975.0,1
2457,268568,864691135809430220,[180000 221472  16623],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,22.0,2450.0,16.0,2165.0,1
2459,436701,864691135501593410,[261744 238256  25227],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,320.0,3101.0,274.0,2740.0,1
2460,466784,864691135780805200,[271072 214256  25688],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,49.0,2252.0,39.0,1993.0,1
2462,470528,864691136482924332,[265328 242880  22589],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,130.0,2049.0,115.0,1845.0,1
2463,306667,864691135700230011,[188192 238608  19525],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,86.0,2118.0,68.0,1924.0,1
2464,129667,864691135544381736,[100192 238976  19932],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,118.0,482.0,101.0,425.0,1
2469,376543,864691136266563316,[220672 254368  23772],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,35.0,1525.0,20.0,1362.0,1
2470,468187,864691136134900107,[273808 233328  20528],2022-06-09 14:30:32.002707,L6,inhibitory,BC,1217.0,7307.0,857.0,6299.0,1
2476,674398,864691136310158170,[365008 232624  17801],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,53.0,1002.0,35.0,900.0,1
2481,624224,864691135639007035,[359568 235456  23363],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,32.0,1710.0,24.0,1550.0,1
2486,342211,864691135696201370,[212608 227472  22008],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,98.0,2622.0,74.0,2306.0,1
2489,619423,864691135968922213,[353936 207200  17528],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,48.0,3104.0,31.0,2801.0,1
2498,203728,864691135437011442,[137472 240704  25375],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,20.0,1956.0,16.0,1717.0,1
2499,338779,864691136846696302,[201248 220720  15322],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,25.0,857.0,19.0,789.0,1
2501,273670,864691136310053466,[170384 246400  21182],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,467.0,1740.0,382.0,1616.0,1
2502,271299,864691136783398766,[170544 235984  20221],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,178.0,1904.0,144.0,1768.0,1
2513,467947,864691135269686949,[262656 226576  19924],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,33.0,2465.0,22.0,2189.0,1
2516,306686,864691136724074749,[192336 227456  19861],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,118.0,2073.0,98.0,1807.0,1
2534,344708,864691135616308164,[212496 248352  25321],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,189.0,2178.0,155.0,1970.0,1
2536,305422,864691135579872964,[186128 223136  24525],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,124.0,2562.0,101.0,2284.0,1
2540,564056,864691136309988954,[312192 215328  19008],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,26.0,2048.0,17.0,1808.0,1
2541,590961,864691136209020348,[339472 201888  22809],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,216.0,3286.0,180.0,2909.0,1
2545,722276,864691135571264037,[379584 233328  24360],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,19.0,1338.0,13.0,1203.0,1
2547,342062,864691135364238066,[211264 228416  21159],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,242.0,3110.0,208.0,2783.0,1
2551,531314,864691136542594978,[307664 205408  24343],2022-06-09 14:30:32.002707,L6,excitatory,5P-PT,106.0,7731.0,86.0,6775.0,1
2554,342352,864691135725610559,[200912 225840  23403],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,17.0,2204.0,12.0,2002.0,1
2561,591009,864691135683215090,[330192 201888  24079],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,165.0,3065.0,140.0,2524.0,1
2568,83611,864691136319289310,[ 94640 237952  16094],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,16.0,218.0,12.0,175.0,1
2570,674047,864691136577461268,[362768 232304  15881],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,15.0,200.0,11.0,173.0,1
2572,341431,864691135462702142,[197856 240304  18507],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,121.0,2371.0,91.0,2169.0,1
2574,340994,864691136099768437,[205984 238992  16359],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,48.0,2057.0,34.0,1881.0,1
2587,204310,864691135718905649,[143296 254304  16481],2022-06-09 14:30:32.002707,L6,inhibitory,BC,571.0,5382.0,416.0,4146.0,1
2603,171866,864691135181826818,[120096 256224  19747],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,91.0,1337.0,67.0,1188.0,1
2609,675613,864691135951581386,[364608 234672  22460],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,73.0,3788.0,40.0,2989.0,1
2612,171865,864691136175471366,[120000 250224  20251],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,118.0,2574.0,100.0,2263.0,1
2613,532691,864691135738967188,[302768 222016  21353],2022-06-09 14:30:32.002707,L6,excitatory,6P-IT,11.0,1008.0,7.0,941.0,1
2615,400253,864691135864681436,[236224 203680  15914],2022-06-09 14:30:32.002707,L6,excitatory,5P-IT,246.0,1398.0,199.0,1170.0,1
2620,536474,864691135724722603,[296752 249168  22035],2022-06-09 14:30:32.002707,L6,excitatory,6P-CT,84.0,1537.0,68.0,1416.0,1
